Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
4522;CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM;UNISALESIANO
4530;CENTRO UNIVERSITÁRIO DE MACEIÓ;UNIMA
4531;FACULDADE ADVENTISTA DA BAHIA;FADBA
4532;FACULDADE DE TECNOLOGIA SENAI CAMPO GRANDE;
4533;FACULDADE SÃO FRANCISCO DA PARAÍBA;FASP
4534;FACULDADE HERRERO;FATEC
4566;ESTÁCIO FATERN - FACULDADE ESTÁCIO DO RIO GRANDE DO NORTE;ESTÁCIO FATERN
4567;FACULDADE CENTRO MATO-GROSSENSE;
4586;FACULDADE UNIBRAS DO NORTE GOIANO;FACBRAS
4588;FACULDADE APOGEU;APOGEU
4594;FACULDADE CATÓLICA DE RONDONIA;FCR
4596;FACULDADE REGES DE RIBEIRÃO PRETO;
4597;FACULDADE FUTURA;
4610;FACULDADE DE TECNOLOGIA ASSESSORITEC;
4613;Centro Universitário FAEMA;UNIFAEMA
4616;FACULDADE ANHANGUERA DE CAXIAS DO SUL;
4629;Faculdade Innovare;FACINN
4632;FACULDADE IDEAU DE CAXIAS DO SUL;IDEAU
4633;Faculdade IDEAU de Passo Fundo;IDEAU
4652;FACULDADE ANHANGÜERA DE SÃO JOSÉ;
4655;FACULDADE ANHANGÜERA DE SOROCABA;FSO
4656;FACULDADE ANHANGÜERA DE PIRACICABA;
4661;FACULDADE UNIBF;
4669;FACULDADE DELTA;FACULDADE DELTA
4674;FACULDADE PORTO DAS ÁGUAS;FAPAG
4681;FACULDADE CENTRO PAULISTANO;
4699;FACULDADE NOROESTE;FAN
4700;FACULDADE NOVA ROMA;FNR
4702;CENTRO UNIVERSITÁRIO BRASILEIRO;UNIBRA
4714;Faculdade de Ensino Regional Alternativa;FERA
4722;FACULDADES INTEGRADAS VIANNA JÚNIOR;FIVJ
4724;FACULDADE DE CIÊNCIAS HUMANAS DO ESTADO DE SÃO PAULO;FACIC
4725;FACULDADE DE TECNOLOGIA EGÍDIO JOSÉ DA SILVA;FATEGIDIO
4729;FACULDADE CENECISTA DE RIO BONITO;FACERB
4731;FACULDADE MESSIANICA;
4732;Faculdade de Tecnologia e Inovação Senac DF;
4740;Faculdade de Tecnologia e Ciências do Alto Paranaíba;FATAP
4742;Faculdade Uninassau Olinda - Nassau Olinda;
4747;FACULDADE REGIONAL DE RIACHÃO DO JACUÍPE;FARJ
4751;CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE
4765;FACULDADE ALFA UMUARAMA;ALFA
4766;Centro Universitário UNA de Contagem;
4773;FACULDADE IBS;IBS
4777;FACULDADE KENNEDY DE BELO HORIZONTE;FKBH
4780;FACULDADE DE CIÊNCIAS DA SAÚDE DE UNAÍ;FACISA
4784;FACULDADE CDL;
4785;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;IFRO
4786;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS;IFTO
4791;FACULDADE DE TECNOLOGIA CENTEC - CARIRI;CENTEC
4793;Faculdades Integradas Vale do Rio Verde;FIVAR
4810;FACULDADE ANTÔNIO MENEGHETTI;AMF
4814;FACULDADE DE TECNOLOGIA SENAI FELIX GUISARD;
4815;FACULDADE DE TECNOLOGIA SENAI NADIR DIAS DE FIGUEIREDO;
4820;FACULDADE DE TECNOLOGIA SENAI ANTÔNIO ADOLPHO LOBBE;
4821;FACULDADE PROMINAS DE MONTES CLAROS;PROMINAS
4826;FACULDADE ANHANGÜERA DE CAMPINAS;
4829;ESCOLA SUPERIOR DE ARTES CÉLIA HELENA;
4836;FACULDADE DE EDUCAÇÃO  ACRIANA EUCLIDES DA CUNHA;INEC
4846;Centro Universitário Vértice;UNIVÉRTIX
4847;FACULDADE CATÓLICA DO RIO GRANDE DO NORTE;
4849;Centro Universitário Tocantinense Presidente Antônio Carlos;UNITPAC
4858;ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE;ESSA
4863;FACULDADE ANHANGUERA DE POÇOS DE CALDAS;
4865;FACULDADE ANHANGUERA DE SÃO LUIZ;
4867;FACULDADE ANHANGUERA DE GUARAPARI;
4873; FACULDADE INTEGRADA DE TAUBATÉ;FACULDADE FITAU
4878;FACULDADE ANHANGUERA DE ITAPECERICA DA SERRA;
4889;FACULDADE CONECTADA FACONNECT;FACONNECT
4901;Centro Universitário FASIPE;
4902;FACULDADE BATISTA PIONEIRA;
4910;FACULDADE DO TRABALHO;FATRA
4915;FACULDADE ESTÁCIO DE CASTANHAL;ESTÁCIO CASTANHAL
4922;FACULDADE INTEGRADA DAS CATARATAS eJOVEM   ;eJOVEM
4925;FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC;UFABC
4926;FACULDADE DE TECNOLOGIA DE PRAIA GRANDE;FATECPG
4938;FACULDADE CLARETIANA DE TEOLOGIA;
4943;STRONG BUSINESS SCHOOL BS;
4945;FACULDADES IPEDE;
4959;FACULDADE ANHANGUERA DE FEIRA DE SANTANA;
4962;CENTRO UNIVERSITÁRIO DE SETE LAGOAS;UNIFEMM
4964;Centro Universitário de Ciências e Tecnologia do Maranhão;UniFacema
4969;Centro Universitário Itop;UNITOP
4982;FACULDADE METROPOLITANA DO PLANALTO NORTE;FAMEPLAN
4983;FACULDADE IBRA DE TECNOLOGIA ;FACULDADE FITEC
4992;FACULDADE DE TECNOLOGIA CENTEC - SERTÃO CENTRAL;FTC SERTÃO CENTRAL
4995;Faculdade Educamais;EDUCA+
5000;Faculdade Ágora - Administração, Educação e Cultura;FAAEC
5008;FACULDADES FAMEP;FAMEP
5015;INSTITUTO SUPERIOR DE TECNOLOGIA EM HORTICULTURA;ISTHORTICULTURA
5016;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO FERNANDO MOTA;FAETERJ-Rio
5017;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ;FAETERJ PETRÓPOLIS
5018;INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT;ISEPAM
5019;INSTITUTO SUPERIOR DE EDUCAÇÃO DA ZONA OESTE;ISE ZONA OESTE
5020;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ;FAETERJ S ANT. PÁDUA
5021;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ;FAETERJ ITAPERUNA
5025;Faculdade Unina;
5036;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE;IF Catarinense
5038;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE MARABÁ;FACIMAB
5045;FACULDADE DE TECNOLOGIA PAULISTA;
5046;FACULDADE POLIS DAS ARTES;
5048;FACULDADE DE TEOLOGIA DE SÃO PAULO DA IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL;
5051;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ;FAETERJ BJ ITABAPOAN
5052;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ;FAETERJ TRÊS RIOS
5053;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO;FAETERJ PARACAMBI
5054;INSTITUTO SUPERIOR DE EDUCAÇÃO DO SERTÃO DO PAJEÚ;ISESP
5077;UNIVERSIDADE ESTADUAL DE RORAIMA;UERR
5099;FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO;FATEC-SB
5105;Centro Universitário Internacional Signorelli;UNISIGNORELLI
5107;FACULDADE SOGIPA DE EDUCAÇÃO FÍSICA;
5124;FACULDADE FACMIL;
5131;FACULDADE SENAC CAÇADOR;SENAC
5133;FACULDADE SENAC SÃO MIGUEL DO OESTE;
5204;INSTITUTO SUPERIOR DE EDUCAÇÃO ANTONINO FREIRE - ISEAF;ISEAF
5215;CENTRO UNIVERSITÁRIO PADRE ALBINO;
5217;FACULDADES INTEGRADAS PAULISTA;FIP
5228;FACULDADE RAIMUNDO MARINHO;FRM
5242;UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL;UNEAL
5276;Faculdade Doctum de Carangola;DOCTUM
5285;FACULDADES INTEGRADAS DE TAQUARA;FACCAT
5288;FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO;
5303;FACULDADE ANHANGÜERA DE DOURADOS;
5312;Centro Universitário UNIFAAT;UNIFAAT
5313;Faculdades Unificadas de Cataguases;FUC
5314;Faculdades Doctum de Guarapari;DOCTUM
5315;Faculdades Unificadas de Iúna;FUI
5316;Faculdades Unificadas de Leopoldina;FUL
5318;FACULDADE GUILHERME GUIMBALA;FGG
5322;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA;UNIPAMPA
5362;Faculdade UNIRB - ARACAJU;F. UNIRB
5369;FACULDADES INTEGRADAS ASMEC;ASMEC
5370;Centro Universitário Doctum de Teófilo Otoni;UNIDOCTUM
5387;FACULDADE IMPACTA;IMPACTA
5394;INSTITUTO DE ENSINO SUPERIOR INTEGRADO-IESI;FENORD
5403;CENTRO UNIVERSITÁRIO OPET;Uniopet
5439;CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS;UNICEPLAC
5451;FACULDADE ANHANGÜERA DE BAURU;
5473;FACULDADE DE CIÊNCIAS E TECNOLOGIA DA BAHIA;FACITE
5511;CENTRO UNIVERSITÁRIO CAMPO REAL;
5518;FACULDADE GUARAPUAVA;FG
5520;FACULDADE CATHEDRAL;FACES
5544;FACULDADE PRESIDENTE ANTÔNIO CARLOS;FAPAC
5550;FACULDADE ANHANGUERA DE ANÁPOLIS;
5555;FACULDADE ANHANGUERA DE JACAREÍ;
5580;Afya Faculdade de Ciências Médicas de Garanhuns;AFYA GARANHUNS
5591;FACULDADES INTEGRADAS CAMÕES;FICA
5592;Centro Universitário Funorte;UNIFUNORTE
5599;LIBERTAS - FACULDADES INTEGRADAS;LIBERTAS
5600;FACULDADES INTEGRADAS SÃO JUDAS TADEU;SJT
5627;FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE;FATEC
5633;FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA;
5664;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE ARARIPINA - FACISA;FACISA
5668;FACULDADE ANHANGUERA DE JOINVILLE;
5669;CENTRO UNIVERSITÁRIO ETEP;
5670;CENTRO UNIVERSITÁRIO DO VALE DO ARAGUAIA;UNIVAR
5671;CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA;
5701;UNIVERSIDADE DO ESTADO DO AMAPÁ;UEAP
5706;FACULDADE MUNICIPAL DE PALHOÇA;FMP
6528;FACULDADE DE CIÊNCIAS APLICADAS DE LIMOEIRO;
10058;FACULDADE DA FRATERNIDADE DE VALENÇA;FFV
10071;FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS;ITEPAFACULDADES
10116;FACULDADE DE TECNOLOGIA SENAI MATO GROSSO;FATEC SENAI MT
10251;FACULDADE METODISTA CONEXIONAL;FACO
10323;Faculdade São Paulo Tech School;SPTech
10349;FACULDADE DE TECNOLOGIA IPPEO;IPPEO
10385;INSTITUTO SÃO PAULO DE ESTUDOS SUPERIORES;ITESP
10588;FACULDADE UNINABUCO SÃO LOURENÇO DA MATA;
10613;FACULDADE  FASUP;FASUP
10685;Faculdade Multivix São Mateus;MULTIVIX SÃO MATEUS
10836;FACULDADE UNIÃO ARARUAMA DE ENSINO S/S Ltda.;FAC-UNILAGOS
11289;ESCOLA SUPERIOR NACIONAL DE SEGUROS DE SÃO PAULO;ESNS-SP
11308;FACULDADE ANHANGUERA DE SUMARÉ;FACSUMARÉ
11428;FACULDADE DE TECNOLOGIA ALTO MÉDIO SÃO FRANCISCO;FAC FUNAM
11429;FACULDADE ESPECIALIZADA NA ÁREA DE SAÚDE DO RIO GRANDE DO SUL;FASURGS
11544;FACULDADE METROPOLITANA DE ANÁPOLIS;FAMA
11584;FACULDADE CAL DE ARTES CÊNICAS;Faculdade Cal
11586;FACULDADES NETWORK - CAMPUS SUMARÉ;
11593;FACULDADE DE CIÊNCIAS DA AMAZÔNIA ;FCA
11604;FACULDADE SANTA RITA DE CHAPECÓ;
11645;FACULDADE UNINASSAU VILHENA;
11807;Istituto Europeo di Design;IED SP
11818;Faculdade Inspirar;Inspirar
11841;FACULDADE EVOLUÇÃO ALTO OESTE POTIGUAR;FACEP
11860;INSTITUTO NACIONAL DE ENSINO SUPERIOR E PÓS-GRADUAÇÃO PADRE GERVÁSIO;INAPÓS
11862;FACULDADE ALFREDO NASSER DE REMANSO;
11895;Faculdade Unibras Brasília;FACBRAS
11902;FACULDADE DE TECNOLOGIA E DESENVOLVIMENTO DE COMPETÊNCIAS;FDC
11951;FACULDADE DO SERTÃO BAIANO ;FASBE
12189;Instituto de Educação de Montes Claros;IESMOC
12247;Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa de Brasília;IDP-BSB
12268;FACULDADE DE TECNOLOGIA DE CRUZEIRO DO OESTE;FACO
12338;FACULDADE DE TECNOLOGIA LA SALLE - ESTRELA;FACSALLE
12410;INSTITUTO SUPERIOR DO MINISTERIO PUBLICO;ISMP
12430;FACULDADE METROPOLITANA SÃO CARLOS BJI;FAMESC-BJI
12522;FACULDADE MOGIANA DO ESTADO DE SÃO PAULO;FMG
12523;Faculdade da Serra Gaúcha de Bento Gonçalves;
12533;FACULDADE DOM BOSCO DE CAPITÃO LEÔNIDAS MARQUES;
12547;FACITEN - FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE NATAL;FACITEN
12584;SUSTENTARE ESCOLA DE NEGÓCIOS;Sustentare
12601;FACULDADE BRASILEIRA DE ESTUDOS AVANÇADOS;FABEA
12611;FACULDADE DE MÚSICA SOUZA LIMA;FMSL
12620;FACULDADE SETE LAGOAS;FACSETE
12625;ESCOLA SUPERIOR DE AVIAÇÃO CIVIL;ESAC
12661;FACULDADE DE TECNOLOGIA SAINT PAUL;
12718;Faculdade Única de Timóteo;FUNIT
12723;FACULDADE FINACI;FINACI
12735;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DO XINGU E AMAZÔNIA;FACX
12748;FETAC - FACULDADE DE EDUCAÇÃO, TECNOLOGIA E ADMINISTRAÇÃO DE CAARAPÓ;FETAC
12749;FACULDADES UNIDAS DE PESQUISA, CIÊNCIAS E SAÚDE LTDA;FAPEC
12754;FACULDADE CRISTÃ DE CURITIBA;FCC
12758;Faculdade Unesc-Unama;
12766;FACULDADE UNIÃO DE CAMPO MOURÃO;
12772;FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BELO HORIZONTE;FTS
12784;FACULDADE DE TECNOLOGIA FTEC;FTEC Novo Hamburgo
12791;FACULDADE ANHANGUERA DE PINDAMONHANGABA;
12817;FACULDADE IMESP MONITOR;IMESP
12848;FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BARBACENA;
12869;FACULDADES JOÃO PAULO II;FJP
12899;FACULDADE IBRA DE MINAS GERAIS;FACULDADE FIBMG
12916;IPOG - INSTITUTO DE PÓS-GRADUAÇÃO & GRADUAÇÃO;IPOG
12922;FACULDADE DE TECNOLOGIA E CIÊNCIAS DA BAHIA;FATEC/BA
12923;FACULDADE DE TECNOLOGIA IPANEMA;
12928;FACULDADE CGESP GOIANIA;FAC CGESP
12946;FACULDADE DE MATO GROSSO;FAMAT
13014;FACULDADE DE TEOLOGIA DA ARQUIDIOCESE DE BRASÍLIA;FATEO
13034;Faculdade Coram Deo;FACDEO
13040;FACULDADE DE CIÊNCIAS MÉDICAS DO PARÁ;FACIMPA
13073;FACULDADE DE TECNOLOGIA AEROTD;AEROTD
13106;Faculdade Multiversa de Tecnologia;
13133;FACULDADE ANHANGUERA DE GOIÂNIA;
13300;FACULDADE ADJETIVO CETEP;ADJETIVO-CETEP
13359;FACULDADE IDEAU DE BAGÉ;IDEAU
13417;FACULDADE PRINCESA DO OESTE;FPO
13467;FACULDADE DE TECNOLOGIA EM SAÚDE CIEPH;FACTES
13476;FACULDADE SÃO BASÍLIO MAGNO;FASBAM
13481;FACULDADES INTEGRADAS RIO BRANCO GRANJA VIANNA;FRB-GV
13484;FACULDADE EUROPÉIA DE VITÓRIA;FAEV
13486;FACULDADE FACTUM;Factum
13488;FACULDADE SEQÜENCIAL;
13527;FACULDADE CANÇÃO NOVA;FCN
13620;FACULDADE ANHANGUERA DE PORTO ALEGRE;
13625;FACULDADE DE TECNOLOGIA NOVA PALHOÇA;FATENP
13631;Faculdade de Ciências, Educação, Saúde, Pesquisa e Gestão;FSF
13643;FACULDADES EVANGÉLICAS INTEGRADAS CANTARES DE SALOMÃO;FEICS
13648;FACULDADE DE SÃO MARCOS;FACSM
13663;FACULDADE ISEIB DE BETIM;FISBE
13666;FACULDADE DE DIREITO DE CONTAGEM;FDCON
13684;FACULDADE ANHANGUERA DE CONTAGEM;
13695;ESCOLA DE MATEMÁTICA APLICADA;EMAp-FGV
13716;FACULDADE DE TECNOLOGIA GAP;GAP
13717;FACULDADES DO VALE DO ARARANGUA - FVA;FVA
13728;FACULDADE DOS CARAJÁS;
13743;Faculdade Anhanguera de Governador Valadares;
13749;FACULDADE EDUCACIONAL ARAUCÁRIA;Facear
13752;FACULDADE DOM RICARDO;FDR
13775;FACULDADE DE TECNOLOGIA IBRATE;FAITEC
13782;FACULDADE DE SANTA CRUZ DA BAHIA;FSC
13783;FACULDADE ESTÁCIO DE FEIRA DE SANTANA;ESTÁCIO FEIRA DE SAN
13784;FACULDADE DO PLANALTO CENTRAL;FAPLAC
13792;INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL;FANORTE CACOAL
13796;FACULDADE DE PORTO FELIZ;
13805;FACULDADE ADVENTISTA DA AMAZÔNIA;FAAMA
13809;FACULDADE SANTO AGOSTINHO DE SETE LAGOAS;FASASETE
13811;TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS;
13812;ESCOLA SUPERIOR ABERTA DO BRASIL;ESAB
13828;FACULDADE ISEIB DE BELO HORIZONTE;FIBH
13832;FACULDADE SAGRADA FAMÍLIA;FASF
13845;Escola DIEESE de Ciências do Trabalho;DIEESE
13873;FACULDADE FINOM DE PATOS DE MINAS;FINOM
13883;FACULDADE MURIALDO;FAMUR
13889;FACULDADE ITAPURANGA;
13897;FACULDADE LABORO;Laboro
13938;FACULDADE DE MARÍLIA;FAMAR
13944;FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS;FAN
13982;CENTRO UNIVERSITÁRIO DA AMAZÔNIA BELÉM;UNAMA
14028;Centro Universitário UNA de Betim;
14029;Faculdade Presidente Antônio Carlos de Aimorés;
14069;FACULDADE DE TECNOLOGIA PORTO SUL;FAPS
14095;FACULDADE DE TECNOLOGIA FUTURO;Fatec Futuro
14097;FACULDADE REFIDIM;Refidim
14101;Faculdade Presidente Antônio Carlos de Baependi;FAPAC BAEPENDI
14115;Faculdade Presidente Antônio Carlos de Ponte Nova;
14121;Faculdade Presidente Antônio Carlos de São João Nepomuceno;
14132;Faculdade Presidente Antônio Carlos de Itanhandu;FAPACI
14133;Faculdade Presidente Antônio Carlos de Lambari;FAPAC LAMBARI
14147;Faculdade Presidente Antônio Carlos de Barão de Cocais;
14148;Faculdade Presidente Antônio Carlos de Mariana;FAPAM
14151;Faculdade Presidente Antônio Carlos de Nova Lima;
14155;Faculdade Presidente Antônio Carlos de Sabará;FUNEES Sabará
14156;Faculdade Presidente Antônio Carlos de Teófilo Otoni;
14157;Faculdade de Educação e Estudos Sociais de Uberlândia;FEESU
14161;Faculdade Única de Contagem;FUNIC
14162;Faculdade Presidente Antônio Carlos de Governador Valadares;FAPAC - GV 
14165;FACULDADE TRÊS PONTAS;FATEP
14181;ESCOLA SUPERIOR DO COOPERATIVISMO;ESCOOP
14194;FATEC - FACULDADE DE TEOLOGIA E CIÊNCIAS DE VOTUPORANGA;FATEC
14242;Faculdade Conexão;CONEXÃO
14243;Faculdade Presidente Antônio Carlos de Itabirito;
14246;Faculdade Presidente Antônio Carlos de Uberaba;
14248;Faculdade Presidente Antônio Carlos de Uberlândia;
14288;FACULDADE CATÓLICA DE SANTA CATARINA;FACASC
14297;Faculdade Unirb - Parnaíba;F. UNIRB
14303;FACULDADE PADRAO DE SENADOR CANEDO;FAPSC
14313;NOVA FACULDADE;NF
14321;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE FORTALEZA;UNINASSAU FORTALEZA
14383;Faculdade CNEC de Educação de Uberaba;FACEUB
14401;FACULDADE DE TECNOLOGIA PORTO DAS MONÇÕES;FAMO
14403;CENTRO UNIVERSITÁRIO DO PARANÁ;UNIPA
14408;INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA;IFB
14412;FACULDADE DE TECNOLOGIA SENAI PERNAMBUCO;
14429;FACULDADE ANHANGUERA DE MACEIÓ;
14509;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO
14622;FACULDADE UNIFTB;
14715;Centro Universitário Piaget;UniPiaget
14717;Centro Universitário Maurício de Nassau de Caruaru;Uninassau Caruaru
14718;FACULDADE PARANÁ;FAP
14724;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ;IFPR
14727;FACULDADE PROGRESSO;FAP
14858;FACULDADE DE TECNOLOGIA FRANCISCO MORATO;FFRAMO
14860;FACULDADE TECNOLÓGICA DENTAL CEEO;ESD-CEEO
14869;Faculdade Faipe;
14878;TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS-;TEN
14879;FACULDADE DOURADO;FD
14882;FACULDADE HORIZONTE;FACHORIZONTE
14890;FACULDADE PRAIA GRANDE;FPG
14892;FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA;FACISB
14901;FACULDADE INTEGRADA CARAJÁS;FIC
14927;FACULDADE ÚNICA DE FORMAÇÃO E ENSINO;FUNIFE
14947;FACULDADE DE CIÊNCIAS DO TOCANTINS;FACIT
14951;FACULDADE FEITEP;FEITEP
14961;FACULDADE DE TECNOLOGIA EM SAÚDE - IAHCS;FATESA
14969;FACULDADE DE TECNOLOGIA EM SAÚDE;FATESA
14975;FACULDADE DO NORDESTE DA BAHIA;FANEB
14996;FACULDADE DIPLOMATA ;
15001;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA;UNILA
15015;Universidade Estadual do Norte do Paraná;UENP
15032;UNIVERSIDADE ALTO VALE DO RIO DO PEIXE;UNIARP
15053;CENTRO UNIVERSITÁRIO UNIVERSO GOIÂNIA;
15054;CENTRO UNIVERSITÁRIO UNIVERSO RECIFE;
15055;CENTRO UNIVERSITARIO UNIVERSO BELO HORIZONTE;
15056;CENTRO UNIVERSITÁRIO UNIVERSO SALVADOR;
15057;CENTRO UNIVERSITÁRIO UNIVERSO JUIZ DE FORA;
15059;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;UFOPA
15079;FACULDADE MASTER DE PARAUAPEBAS - FAMAP;FAMAP
15121;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS
15133;FACULDADE JARDINS;FACJARDINS
15135;FACULDADE DE TECNOLOGIA SENAC AMAZONAS;
15236;FACULDADE DE TECNOLOGIA ALCIDES MAYA;AMTEC
15272;FACULDADE DE TECNOLOGIA, EDUCAÇÃO SUPERIOR E PROFISSIONAL;FATESP
15280;Faculdade Brasileira de Ensino, Pesquisa e Extensão;FABEX
15351;Faculdade CESURG Marau;
15357;Faculdade Presidente Antônio Carlos de Ubá;
15382;FACULDADE AJES;AJES
15383;FACULDADE PARA O DESENVOLVIMENTO SUSTENTÁVEL DA AMAZÔNIA;FADESA
15401;Faculdade FIPECAFI;FIPECAFI
15410;Faculdade de Ciencias Humanas e Sociais de Serra Talhada;FACHUSST
15428;Faculdade UNIRB - NATAL;F. UNIRB
15433;FACULDADE CATÓLICA DE MATO GROSSO;FACC-MT
15450;Faculdade Única de Ipatinga;FUNIP
15451;Faculdade de Direito de Ipatinga;FADIPA
15452;CENTRO UNIVERSITÁRIO UNA DE BOM DESPACHO;UNA
15453;Faculdade Presidente Antônio Carlos de Conselheiro Lafaiete;
15467;Faculdade Presidente Antônio Carlos de Visconde do Rio Branco;
15468;Faculdade Presidente Antônio Carlos de Leopoldina;
15497;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;UNILAB
15504;FACULDADE IRECÊ;FAI
15507;Instituto Federal de Educação, Ciência e Tecnologia do Acre;IFAC
15508;Centro de Ensino Unificado do Piauí;CEUPI
15520;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL;IFMS
15522;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ;IFAP
15526;FACULDADE UNIRB CEARÁ;F.CEARÁ
15562;Faculdade Batista do Cariri;FBC
15576;Faculdade de Tecnologia de Mogi das Cruzes;FATEC-MC
15581;Faculdade de Tecnologia de São José dos Campos - Jessen Vidal;FATECSJCAMPOS
15585;Faculdade de Tecnologia Santo André;FATEC-SA
15611;Faculdade Tecnológica Latino Americana;FATLA
15639;Faculdade de Tecnologia de Itaquaquecetuba;Fatec Itaqua
15667;FACULDADE UNIRB - JUAZEIRO ;FACULDADE UNIRB
15680;Fatec Cruzeiro - Prof. Waldomiro May;
15682;Faculdade de Tecnologia de Piracicaba;Fatec Piracicaba
15687;Faculdade de Tecnologia de Pindamonhangaba;FATEC PI
15688;FACULDADE DE TECONOLOGIA DA ZONA SUL;FATEC ZONASUL
15689;Faculdade de Tecnologia de Bauru;FATEC
15693;Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende;Fatec - Itapetininga
15695;Faculdade de Tecnologia Dom Amaury Castanho;Fatec Itu
15696;Faculdade de Tecnologia de Sertãozinho;FATEC SERTÃOZINHO
15697;Faculdade de Tecnologia de Araçatuba;FATEC Araçatuba
15704;Faculdade de Tecnologia de Capão Bonito;FATEC-CB
15708;Faculdade de Tecnologia Dr. Thomaz Novelino;FATEC Franca
15709;Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar;Fatec Osasco
15714;Fatec Arthur Azevedo - Mogi Mirim;FATECMM
15715;FACULDADE DE TECNOLOGIA PROFESSOR ANTÔNIO SEABRA;FATEC LINS
15745;Faculdade de Tecnologia de São Caetano do Sul;FATEC SCS
15746;Faculdade de Tecnologia do Ipiranga;FATECIPI
15752;Faculdade de Tecnologia de Guarulhos;FATEC GR
15753;FACULDADE DE TECNOLOGIA NILO DE STÉFANI - JABOTICABAL;FATEC JBL
15757;Faculdade de Tecnologia de Barueri;Fatec Barueri
15769;Faculdade de Tecnologia de Jales;Fatec Jales
15784;Faculdade de Tecnologia Estudante Rafael Almeida Camarinha - Marilia;Fatec Marilia
15793;Faculdade de Tecnologia de São Sebastião;Fatec SS
15803;FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO;FATEC TATUÍ
15839;FACULDADE PITÁGORAS UNOPAR DE JOÃO PESSOA;
15859;Faculdade Católica Paulista;FACAP
15873;Faculdade Itaquá;UNEITAQUÁ
15894;FACULDADE SOBRESP DE SANTA MARIA ;
15922;Faculdade FABAD;FABAD
