Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
514;CENTRO UNIVERSITÁRIO DE BARRA MANSA;UBM
515;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;UNIAN-RJ
516;CENTRO UNIVERSITÁRIO DO RIO DE JANEIRO;UNIRJ
517;FACULDADE DE EDUCAÇÃO SÃO LUÍS;FESL
518;CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL;UDF
519;UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL
521;UNIVERSIDADE DE MOGI DAS CRUZES;UMC
522;CENTRO UNIVERSITÁRIO CELSO LISBOA;UCL
526;CENTRO UNIVERSITÁRIO BRAZ CUBAS; 
527;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC GOIÁS
528;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO
530;FACULDADE DE MÚSICA DO ESPÍRITO SANTO MAURÍCIO DE OLIVEIRA;FAMES
532;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;UNIJUI
533;FACULDADES INTEGRADAS DE ITAPETININGA;FII
534;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;EBMSP
535;FUNDAÇÃO FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE MANDAGUARI;FAFIMAN
543;FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO;FAC-FITO
545;Centro Universitário FUNCESI;UNIFUNCESI
546;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;PUCSP
547;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ
548;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA
549;UNIVERSIDADE FEDERAL DO ACRE;UFAC
550;UNIVERSIDADE ESTADUAL DA PARAÍBA;UEPB
554;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE BOA ESPERANÇA;FAFIBE
555;UNIVERSIDADE DE FORTALEZA;UNIFOR
568;UNIVERSIDADE ESTADUAL DO MARANHÃO;UEMA
569;UNIVERSIDADE FEDERAL DO PARÁ;UFPA
570;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN
571;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR
572;UNIVERSIDADE FEDERAL FLUMINENSE;UFF
573;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES
574;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ
575;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG
576;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
577;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL
578;UNIVERSIDADE FEDERAL DA BAHIA;UFBA
579;UNIVERSIDADE FEDERAL DA PARAÍBA;UFPB
580;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE
581;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS
582;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM
583;UNIVERSIDADE FEDERAL DO CEARÁ;UFC
584;UNIVERSIDADE FEDERAL DE GOIÁS;UFG
585;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
586;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ
587;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE
588;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR
589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;UFERSA
590;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;UFRA
591;UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP
592;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA
593;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ
594;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET/MG
595;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG
596;UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;UFVJM
597;UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;UFTM
598;UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI;UNIFEI
599;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA
600;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA
601;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;IFRS
602;INSTITUTO TECNOLÓGICO DE AERONÁUTICA;ITA
605;UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL;USCS
606;FACULDADE DE DIREITO DE CACHOEIRO DO ITAPEMIRIM;FDCI
607;FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE CACHOEIRO DO ITAPEMIRIM;FACCACI
608;"ESCOLA SUPERIOR DE CRUZEIRO ""PREFEITO HAMILTON VIEIRA MENDES""";ESEFIC
609;UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ;UNIOESTE
610;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DO RIO DE JANEIRO;UNINASSAU
615;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS PROFESSORA NAIR FORTES ABU-MERHY;FAFI - PRONAFOR
621;CENTRO UNIVERSITÁRIO CESMAC;CESMAC
622;FACULDADES INTEGRADAS SILVA E SOUZA;FAU
625;FACULDADE CENECISTA DE CAPIVARI;FACECAP
626;CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC
627;FACULDADE CNEC VARGINHA;
631;FACULDADE CNEC FARROUPILHA;
633;INSTITUTO MILITAR DE ENGENHARIA;IME
634;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL
636;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;ESPM
